Gene,Name,baseMean,baseMean_N2_20C,baseMean_N2_34C,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00002026,hsp-70,11678.21473,9.139824322,23348.10168,10.08318437,0.237680533,42.42326555,0,0
WBGene00004744,scp-1,15001.47977,1137.496389,28866.19286,4.608570426,0.091783208,50.21147696,0,0
WBGene00016250,hsp-110,61148.13404,7590.466166,114706.9785,3.876407934,0.085381671,45.40093796,0,0
WBGene00009180,nurf-1,72357.33177,4391.396692,140323.6541,4.869304457,0.132469284,36.75798873,8.67E-296,4.11E-292
WBGene00009692,F44E5.5,2069.452133,3.869580309,4134.420971,8.690635053,0.248351433,34.99329539,2.85E-268,1.08E-264
WBGene00011300,R107.5,33578.60494,620.5054429,66535.57922,6.37087207,0.19073582,33.40155014,1.30E-244,4.12E-241
WBGene00009691,F44E5.4,1791.958618,0.551716788,3582.959266,9.072673203,0.286696767,31.64553714,8.73E-220,2.37E-216
WBGene00008405,ttll-12,11277.47115,2278.147882,20278.55843,3.108702281,0.099588153,31.21558339,6.55E-214,1.55E-210
WBGene00011231,R11A5.3,4918.471733,8.650443878,9828.574081,8.365727383,0.293721271,28.48185753,1.97E-178,4.14E-175
WBGene00000915,hsp-90,111534.8602,49539.448,173529.3149,1.794820091,0.072593126,24.72438083,5.85E-135,1.11E-131
WBGene00014454,MTCE.7,50769.27028,1049.316447,100488.4121,5.878340899,0.256410835,22.92547781,2.59E-116,4.46E-113
WBGene00021599,srt-42,634.3594255,28.64630249,1240.40118,4.985891733,0.225921544,22.06912915,6.26E-108,9.89E-105
WBGene00012813,Y43F8B.2,17657.30794,935.0656768,34379.89792,4.805569267,0.220962473,21.74835026,7.16E-105,1.04E-101
WBGene00006760,unc-23,6798.926569,2008.758348,11588.23223,2.479170111,0.11548699,21.46709441,3.16E-102,4.28E-99
WBGene00001076,dpy-17,970.4400381,56.07680286,1884.257618,4.676133714,0.221932687,21.07005408,1.50E-98,1.89E-95
WBGene00002008,hsp-4,16848.9759,3691.56075,30007.05263,2.934252134,0.141247834,20.77378495,7.47E-96,8.86E-93
WBGene00044443,ZC21.10,1587.706482,11.38355342,3163.259043,6.518649826,0.314414094,20.73268966,1.76E-95,1.96E-92
WBGene00001910,C50F4.6,720.4506274,172.9203206,1267.910999,2.795617567,0.136299452,20.51084971,1.72E-93,1.82E-90
WBGene00014472,MTCE.33,19313.40932,587.2423969,38038.7577,5.306334848,0.267880245,19.80860828,2.51E-87,2.51E-84
WBGene00022951,C30E1.9,26477.49848,2238.660189,50716.19856,4.163728288,0.220082709,18.91892515,7.97E-80,7.56E-77
WBGene00011299,ikke-1,2302.449447,772.9194272,3833.309475,2.259656835,0.122401716,18.46098984,4.25E-76,3.84E-73
WBGene00012101,zip-10,284.2637582,40.9281783,527.4973805,3.481290277,0.190817776,18.24405646,2.31E-74,1.99E-71
WBGene00007553,C13G3.1,979.7679341,149.7444375,1810.009472,3.400328225,0.189071659,17.98433588,2.58E-72,2.13E-69
WBGene00011230,nud-2,2275.270786,730.9993496,3820.791344,2.326754488,0.130118873,17.88176019,1.64E-71,1.29E-68
WBGene00004267,rab-3,1020.944794,1446.206413,595.9388936,-1.269412988,0.072313515,-17.55429788,5.51E-69,4.18E-66
WBGene00001029,dnj-11,2736.417987,3779.849733,1692.14642,-1.152086019,0.066588141,-17.30166961,4.57E-67,3.33E-64
WBGene00001635,gly-10,1180.262858,1751.923962,608.0311884,-1.509535728,0.088270968,-17.10115748,1.45E-65,1.02E-62
WBGene00004719,sad-1,646.7651567,987.4572398,307.0424982,-1.662069486,0.097501799,-17.04655196,3.71E-65,2.51E-62
WBGene00013244,Y56A3A.33,220.0732875,42.26419847,396.7285781,3.066122987,0.182300369,16.81907175,1.77E-63,1.16E-60
WBGene00016115,mdt-26,2106.111886,956.1218254,3257.631208,1.741014643,0.103621501,16.80167363,2.37E-63,1.50E-60
WBGene00011718,T11G6.3,241.6687363,417.8671915,64.59274767,-2.595599526,0.1555273,-16.68902841,1.58E-62,9.64E-60
WBGene00004131,pqn-44,17991.7957,2385.270075,33599.29379,3.548568192,0.213441507,16.62548319,4.56E-62,2.70E-59
WBGene00017671,pgal-1,2882.220153,4137.703333,1625.260689,-1.335352665,0.081160889,-16.45315467,7.96E-61,4.58E-58
WBGene00007388,folt-1,376.4818357,667.2694339,84.8081807,-2.840714894,0.173034649,-16.41702922,1.44E-60,8.06E-58
WBGene00010918,M117.1,767.246852,1299.376982,235.0522475,-2.388198627,0.146697997,-16.27969491,1.38E-59,7.46E-57
WBGene00198213,M03F4.12,93.40864952,0.298571141,186.7668017,5.532693658,0.341096402,16.22032253,3.62E-59,1.91E-56
WBGene00020761,T24C4.5,150.0102924,34.26653241,266.113749,2.816134454,0.176851872,15.92369038,4.34E-57,2.23E-54
WBGene00007746,C26D10.6,567.1262559,880.0579291,253.1736096,-1.763922844,0.113076281,-15.59940625,7.35E-55,3.67E-52
WBGene00004048,plx-2,481.7176431,739.0668197,225.8034336,-1.681075579,0.109019534,-15.41994836,1.20E-53,5.85E-51
WBGene00000097,aip-1,1462.779684,344.6657462,2582.193031,2.762879201,0.180539773,15.30343792,7.25E-53,3.41E-50
WBGene00002178,jnk-1,315.1571624,494.9649531,134.4183355,-1.840697624,0.120288568,-15.30234882,7.37E-53,3.41E-50
WBGene00020125,cest-19,254.1687563,413.9616104,93.6737302,-2.08328818,0.138003199,-15.09594119,1.72E-51,7.78E-49
WBGene00017881,asp-13,3215.663246,5864.055488,568.3458415,-3.136420406,0.211095766,-14.85780822,6.19E-50,2.73E-47
WBGene00004477,rps-8,127587.4396,88451.52301,166723.0692,0.909538891,0.061446283,14.80217909,1.42E-49,6.11E-47
WBGene00004220,ptr-5,447.0411653,654.0013989,240.6291544,-1.422795296,0.097043374,-14.66143686,1.14E-48,4.80E-46
WBGene00044180,C47E8.11,109.888254,0.830795884,218.4346516,5.141108592,0.354133791,14.51741891,9.40E-48,3.88E-45
WBGene00044176,C30G7.2,279.3407567,450.797826,107.9639647,-2.002933533,0.139177059,-14.39126209,5.87E-47,2.37E-44
WBGene00004347,rgs-4,287.0206602,461.6497173,112.7837003,-1.975588126,0.138521742,-14.26193529,3.78E-46,1.49E-43
WBGene00012351,W09C5.1,4714.05452,3499.231346,5928.581703,0.757568031,0.053157369,14.25142074,4.39E-46,1.70E-43
WBGene00020999,W03F9.1,3881.814804,1861.382038,5903.814218,1.63325979,0.114920928,14.21203096,7.72E-46,2.93E-43
WBGene00008143,C47E8.4,1162.06909,494.9967134,1827.952289,1.837844207,0.130271069,14.10784625,3.40E-45,1.26E-42
WBGene00001709,grk-2,452.0958802,655.1681797,249.4659063,-1.373450642,0.098438302,-13.9524008,3.04E-44,1.11E-41
WBGene00006373,syx-5,1263.880688,1719.003375,809.8238087,-1.076566539,0.077225138,-13.94062304,3.59E-44,1.28E-41
WBGene00009266,F30A10.9,1603.644282,1129.191362,2077.063378,0.874238305,0.063033286,13.86947055,9.70E-44,3.41E-41
WBGene00019243,fbxb-72,79.40478467,3.019185334,156.3913594,4.437379808,0.32068462,13.83720805,1.52E-43,5.24E-41
WBGene00004470,rps-1,114136.3976,82717.42578,145552.5868,0.811249081,0.058685021,13.8237845,1.83E-43,6.21E-41
WBGene00006747,unc-7,801.6075422,1098.457801,504.9479769,-1.110827235,0.080377437,-13.82013759,1.93E-43,6.41E-41
WBGene00004472,rps-3,95593.6026,70510.03525,120675.5406,0.771712065,0.056274424,13.71337121,8.44E-43,2.76E-40
WBGene00003772,nlr-1,433.1307569,624.8886448,242.5082904,-1.346202292,0.098926587,-13.608094,3.58E-42,1.15E-39
WBGene00021843,Y54E10BR.4,2373.498555,1714.227836,3031.312909,0.81810998,0.06017086,13.59644823,4.20E-42,1.33E-39
