Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_S-macescens_Db10,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00010790,sodh-1,6872.714819,16941.99625,163.3297671,-6.648180816,0.153465506,-43.32035897,0,0
WBGene00015933,C17H12.8,42844.61065,450.6460653,71120.97653,7.234122846,0.174266017,41.51195375,0,0
WBGene00009221,acs-2,2542.631668,6294.400467,34.25438076,-7.418678556,0.208811631,-35.52809059,1.81E-276,9.36E-273
WBGene00017892,F28B4.3,4977.242813,183.7009102,8170.155878,5.435162527,0.153083623,35.50453277,4.18E-276,1.62E-272
WBGene00003091,lys-2,5601.778804,188.6074068,9216.255734,5.564165125,0.163359745,34.06080941,2.81E-254,8.71E-251
WBGene00006928,vit-4,11941.92996,715.3315798,19419.78198,4.734176485,0.139430763,33.95360087,1.08E-252,2.79E-249
WBGene00019738,clec-265,2519.909654,61.5353169,4159.532219,6.018601439,0.178315478,33.75254638,9.81E-250,2.17E-246
WBGene00022645,ZK6.11,5572.440274,145.9824506,9201.39123,5.919138328,0.17970515,32.93805619,6.27E-238,1.22E-234
WBGene00011979,sysm-1,10317.5727,261.6088248,17035.27432,5.955803528,0.194025643,30.6959608,6.44E-207,1.11E-203
WBGene00044292,F56D6.8,1639.945416,4037.494973,34.0505584,-6.78093339,0.224258322,-30.23715389,7.70E-201,1.19E-197
WBGene00007153,clec-41,5299.870361,413.794987,8561.039529,4.34179475,0.146573111,29.6220414,7.77E-193,1.10E-189
WBGene00007875,dod-24,3016.963046,52.23055829,5004.746279,6.484654149,0.218996088,29.6108219,1.08E-192,1.40E-189
WBGene00022644,dod-19,5920.944595,530.23537,9518.622578,4.140209047,0.142241489,29.10690185,2.94E-186,3.50E-183
WBGene00018971,clec-67,1720.848397,33.42153941,2851.95569,6.32032955,0.219507371,28.79324516,2.61E-182,2.89E-179
WBGene00014666,C05D12.3,1417.590951,38.71922335,2342.901368,5.841850677,0.204910211,28.50931949,8.98E-179,9.28E-176
WBGene00016670,ilys-3,984.7121313,2375.236661,53.83306666,-5.401574442,0.190740113,-28.31902718,2.02E-176,1.95E-173
WBGene00010659,K08D8.5,1341.84101,51.13391443,2203.223621,5.365405571,0.192742186,27.83721442,1.54E-170,1.40E-167
WBGene00013654,Y105C5B.15,3884.299131,361.3045657,6235.108484,4.081757929,0.146785148,27.80770383,3.50E-170,3.02E-167
WBGene00010124,F55G11.4,1826.527127,79.09306912,2998.974021,5.187025512,0.188129648,27.57154738,2.44E-167,1.99E-164
WBGene00016923,C54F6.5,1676.122121,4079.824244,62.22573899,-5.946353525,0.215828562,-27.55128183,4.27E-167,3.31E-164
WBGene00003473,mtl-1,18775.43376,43239.5759,2455.942918,-4.109394385,0.149976691,-27.40022034,2.73E-165,2.01E-162
WBGene00009578,F40F8.5,13971.49811,1733.302703,22137.17248,3.654164662,0.135495065,26.96898716,3.42E-160,2.41E-157
WBGene00010204,F57F5.1,17030.20021,2370.483374,26802.65615,3.481184381,0.129129525,26.95885676,4.49E-160,3.03E-157
WBGene00008584,irg-4,1257.644061,43.72325063,2072.929932,5.492104447,0.207127876,26.51552531,6.42E-155,4.15E-152
WBGene00021872,clec-85,6214.846261,585.3813194,9957.371189,4.057780539,0.155350495,26.12016485,2.15E-150,1.33E-147
WBGene00015759,C14C6.5,1757.327153,140.0443563,2836.606508,4.302888799,0.167647833,25.66623571,2.79E-145,1.66E-142
WBGene00017303,F09F7.6,1112.90646,2577.963951,135.4702074,-4.214744356,0.164532856,-25.61642984,1.00E-144,5.75E-142
WBGene00002273,lec-10,7204.700312,976.1029048,11354.66264,3.519410692,0.137941276,25.51383314,1.38E-143,7.67E-141
WBGene00010125,dod-22,925.9871889,9.21615607,1542.344824,7.19493042,0.282663674,25.45403274,6.37E-143,3.41E-140
WBGene00010050,F54D5.4,7597.438023,664.2822096,12232.03169,4.167906689,0.164262718,25.37341844,4.96E-142,2.56E-139
WBGene00019682,K12H4.7,8309.056309,1171.16531,13067.87742,3.459445102,0.138416107,24.99308196,7.27E-138,3.64E-135
WBGene00008486,ugt-44,2992.500795,198.3838335,4866.822499,4.569152562,0.183133755,24.94981096,2.15E-137,1.04E-134
WBGene00003097,lys-8,8191.68153,1184.622362,12869.28019,3.421389987,0.137780861,24.83211356,4.04E-136,1.90E-133
WBGene00003090,lys-1,15158.81737,2561.702048,23556.22165,3.184459118,0.129381927,24.61285889,9.20E-134,4.20E-131
WBGene00006925,vit-1,10742.28132,1375.284453,16975.92032,3.601569175,0.146776018,24.53785866,5.83E-133,2.58E-130
WBGene00011856,T20D3.2,6519.421364,737.942942,10383.12788,3.786515717,0.154556935,24.49916407,1.51E-132,6.49E-130
WBGene00018823,F54E2.1,2461.687609,211.6944639,3972.052072,4.191119924,0.173415205,24.1681225,4.82E-129,2.02E-126
WBGene00003474,mtl-2,29586.11943,70555.60739,2257.648681,-4.902243774,0.203737793,-24.06153376,6.32E-128,2.58E-125
WBGene00011487,T05E12.6,1292.695391,88.81379121,2102.53644,4.51435047,0.189220283,23.85764574,8.44E-126,3.35E-123
WBGene00044488,Y54G2A.45,807.519012,42.0989348,1318.74603,4.904013873,0.206320654,23.76889461,7.01E-125,2.72E-122
WBGene00018237,irg-7,22941.79959,4150.193079,35472.30835,3.079296892,0.130330511,23.62683054,2.04E-123,7.73E-121
WBGene00015549,C06G3.3,659.6402442,1562.687372,52.16892523,-4.839853483,0.204900573,-23.62049752,2.37E-123,8.76E-121
WBGene00012664,Y39B6A.1,24184.7791,1817.619183,39081.36212,4.378889655,0.185884795,23.55700834,1.06E-122,3.84E-120
WBGene00021518,hpo-6,2510.066068,281.4407086,3987.225367,3.792041318,0.164419577,23.06319836,1.08E-117,3.82E-115
WBGene00002021,hsp-17,1293.409199,145.0377832,2058.915055,3.795016807,0.165158961,22.97796496,7.74E-117,2.67E-114
WBGene00001477,fmo-2,461.6302913,1140.186016,13.63034175,-6.23645293,0.271722855,-22.95152147,1.42E-116,4.80E-114
WBGene00009431,dct-17,819.7742732,27.86334434,1356.008027,5.505067249,0.240526557,22.88756521,6.18E-116,2.04E-113
WBGene00007097,B0024.4,1278.316213,68.98901166,2095.132496,4.855415104,0.214237641,22.66368824,1.02E-113,3.30E-111
WBGene00018951,F56C9.7,2751.879642,417.7681351,4312.954061,3.345248585,0.147932367,22.61336477,3.20E-113,1.01E-110
WBGene00008492,F01D5.1,934.8222983,86.82378545,1502.51352,4.072004737,0.18008017,22.61217735,3.29E-113,1.02E-110
WBGene00019017,F57F4.4,5026.975358,872.7997588,7795.263385,3.140013285,0.13945073,22.51700852,2.83E-112,8.60E-110
WBGene00015280,C01B10.6,8937.944651,1758.607942,13722.15232,2.948350008,0.131047145,22.49839179,4.30E-112,1.28E-109
WBGene00010658,K08D8.4,559.0837237,19.27083857,920.2742697,5.473609051,0.243807797,22.45050864,1.27E-111,3.70E-109
WBGene00018731,F53A9.8,15180.50904,34096.5177,2555.783111,-3.70636946,0.165251528,-22.42865465,2.07E-111,5.94E-109
WBGene00018138,folt-2,660.9822646,12.97900583,1101.293743,6.248043362,0.278915765,22.401184,3.83E-111,1.08E-108
WBGene00012018,T25C12.3,11131.24263,1472.200464,17582.90207,3.550136097,0.159633509,22.23929123,1.43E-109,3.97E-107
WBGene00010793,LLC1.2,5086.851991,919.561155,7858.945712,3.076942273,0.13877082,22.17283344,6.28E-109,1.71E-106
WBGene00016845,C50F7.5,2735.025379,345.6735223,4317.352282,3.612350525,0.163567535,22.0847647,4.43E-108,1.18E-105
WBGene00009778,F46C5.1,390.4080354,951.3863403,12.11371414,-6.134894758,0.280649422,-21.85963799,6.29E-106,1.65E-103
WBGene00021322,Y34B4A.6,4560.99696,629.114153,7169.919632,3.482472911,0.160483345,21.69990232,2.06E-104,5.31E-102
WBGene00010605,K06G5.1,13182.6161,2524.929831,20296.12346,2.989236852,0.138287494,21.61610392,1.27E-103,3.17E-101
WBGene00015713,C12D12.1,4948.099157,840.1619801,7677.711742,3.170730221,0.146682834,21.61623228,1.26E-103,3.17E-101
WBGene00003957,pcp-2,749.7534611,25.75359975,1241.70519,5.479196144,0.25352829,21.61177419,1.39E-103,3.43E-101
WBGene00014138,clec-186,1889.551069,292.2964092,2959.023139,3.315174515,0.154679759,21.4325038,6.65E-102,1.61E-99
WBGene00011330,T01D3.6,4980.409338,969.1226279,7660.060959,2.965051913,0.138490037,21.40985719,1.08E-101,2.58E-99
WBGene00235094,K08D9.9,789.6292459,1805.397937,106.3941986,-4.039101386,0.190161186,-21.24040909,4.04E-100,9.50E-98
WBGene00008741,ctsa-1.2,4125.113346,579.0181214,6476.686301,3.454873136,0.162709379,21.23339886,4.69E-100,1.09E-97
WBGene00019660,K11H12.4,657.6327911,43.76382812,1073.199614,4.549877576,0.214362125,21.22519347,5.59E-100,1.27E-97
WBGene00017678,asp-12,1113.713693,123.0782629,1779.371029,3.815265797,0.181220627,21.05315417,2.14E-98,4.81E-96
WBGene00006650,tts-1,75124.28497,152246.0096,23711.51312,-2.669443107,0.127174054,-20.99046951,8.02E-98,1.78E-95
WBGene00018946,F56C3.9,580.6344644,23.76488371,954.5787725,5.219950912,0.249050701,20.95939058,1.54E-97,3.36E-95
WBGene00015913,C17F4.7,82335.02235,19475.13114,124237.5326,2.660151774,0.12699824,20.94636718,2.03E-97,4.36E-95
WBGene00019968,R08F11.4,435.9202515,15.53039813,716.5927583,5.408365166,0.258422637,20.92837235,2.95E-97,6.28E-95
WBGene00019617,ctsa-2,4935.725684,1046.629931,7531.922896,2.831127317,0.135819559,20.84476894,1.70E-96,3.56E-94
WBGene00018643,drd-50,472.9657455,5.585498564,787.3206675,6.874293723,0.332500141,20.67455883,5.87E-95,1.21E-92
WBGene00018427,F44E7.5,1682.360569,275.8562172,2623.852585,3.225334692,0.156583799,20.59813801,2.85E-94,5.82E-92
WBGene00016017,C23G10.11,369.3700978,920.6729841,6.506483534,-6.879813909,0.334502207,-20.56731996,5.39E-94,1.08E-91
WBGene00016335,gba-1,958.2058605,125.4922959,1510.347185,3.555457771,0.174551944,20.36905288,3.15E-92,6.26E-90
WBGene00016769,C49C8.5,1460.921343,191.1972168,2313.785987,3.562623345,0.17575581,20.27030199,2.35E-91,4.62E-89
WBGene00004020,pho-1,599.9260884,49.38847833,972.5128309,4.241516887,0.209568633,20.23927355,4.42E-91,8.56E-89
WBGene00004987,spp-2,4591.083205,720.1874771,7183.621915,3.291034649,0.163635042,20.1120409,5.79E-90,1.11E-87
WBGene00000606,col-17,1055.352893,99.83350065,1680.917581,4.020209122,0.203353685,19.76954155,5.45E-87,1.03E-84
WBGene00009488,oac-20,346.1096788,12.01249028,568.8445297,5.428836196,0.276130325,19.6604129,4.71E-86,8.80E-84
WBGene00021079,W08A12.2,894.858322,1937.522154,193.4699846,-3.295091878,0.167694746,-19.6493447,5.86E-86,1.08E-83
WBGene00014136,ZK896.5,446.4717914,30.63765828,726.3153038,4.491394624,0.228960558,19.61645564,1.12E-85,2.04E-83
WBGene00044472,dct-8,351.4165055,859.3427082,6.085853703,-6.842041609,0.351043281,-19.49059269,1.32E-84,2.38E-82
WBGene00009397,clec-66,986.0223699,131.4885919,1547.278978,3.520174419,0.181176508,19.42953011,4.34E-84,7.74E-82
WBGene00004875,smd-1,4051.969396,448.7489205,6439.738868,3.797006083,0.195602633,19.41183527,6.13E-84,1.08E-81
WBGene00016027,C23H5.8,1304.866928,230.3117059,2024.242918,3.111055531,0.160313529,19.40606975,6.86E-84,1.19E-81
WBGene00021160,gba-4,923.9630545,93.67105699,1487.669767,3.93875613,0.203197352,19.38389493,1.06E-83,1.82E-81
WBGene00021325,Y34B4A.9,3590.38616,806.9924653,5444.58906,2.737313589,0.141298526,19.37255583,1.32E-83,2.24E-81
WBGene00012186,mlt-11,2679.028573,512.5033425,4113.903207,2.982779018,0.154074392,19.35934311,1.70E-83,2.87E-81
WBGene00015932,C17H12.6,433.8315944,5.795017157,726.8981576,6.690909852,0.34624548,19.32417966,3.36E-83,5.61E-81
WBGene00010174,F56H9.2,26835.09992,53805.67908,8855.757803,-2.588626741,0.134492727,-19.24733624,1.49E-82,2.45E-80
