Gene,Name,baseMean,baseMean_N2_OP50,baseMean_N2_PA14,log2FoldChange,lfcSE,stat,pvalue,padj
WBGene00010123,F55G11.2,12566.26414,399.0806109,24733.41313,5.678486391,0.172194922,32.977084,1.73E-238,2.86E-234
WBGene00009429,irg-5,35091.76292,440.9340902,69742.81262,6.72216202,0.221421998,30.35905226,1.91E-202,1.58E-198
WBGene00001786,gst-38,4254.40795,137.874963,8371.049113,5.601736927,0.185163075,30.25299148,4.77E-201,2.63E-197
WBGene00010745,dod-17,6350.038138,944.2577001,11755.72844,3.550689123,0.125923005,28.1973029,6.31E-175,2.61E-171
WBGene00003091,lys-2,24811.01373,5476.216047,44146.19397,2.95504574,0.111205655,26.57280096,1.40E-155,4.64E-152
WBGene00007867,C32H11.4,21055.46544,698.1071899,41412.57634,5.480201876,0.208716228,26.25671196,5.99E-152,1.65E-148
WBGene00017691,ilys-5,11265.85052,20282.84943,2249.046256,-3.104037605,0.119915153,-25.8852824,9.75E-148,2.31E-144
WBGene00010988,metr-1,19684.43105,34523.86665,4845.381377,-2.777195501,0.114305545,-24.29624475,2.15E-130,4.44E-127
WBGene00010124,F55G11.4,10687.40772,1375.973626,19998.88591,3.719553797,0.154736734,24.03794956,1.12E-127,2.05E-124
WBGene00016424,C34H4.1,1342.141509,280.0851868,2403.999939,3.026210526,0.126435997,23.93472273,1.33E-126,2.21E-123
WBGene00018760,irg-3,2001.985622,132.3286776,3871.483102,4.582808937,0.192744211,23.77663594,5.83E-125,8.77E-122
WBGene00016943,acdh-1,44715.0117,88870.02038,559.9927364,-6.355183384,0.273581776,-23.22955672,2.29E-119,3.16E-116
WBGene00008436,DH11.2,1846.365364,3295.892461,396.415168,-2.979103142,0.128484445,-23.18648873,6.23E-119,7.93E-116
WBGene00009397,clec-66,5534.555431,1160.531556,9909.116958,3.014118194,0.130485936,23.09918063,4.72E-118,5.58E-115
WBGene00007097,B0024.4,2531.370761,229.7931563,4832.642611,4.159208742,0.184530828,22.53937075,1.71E-112,1.88E-109
WBGene00017881,asp-13,6228.984836,12111.71664,346.3684065,-4.761533634,0.211281995,-22.53639088,1.83E-112,1.89E-109
WBGene00004062,pmp-5,8008.78632,15670.82513,346.601628,-5.049503504,0.224383439,-22.50390455,3.80E-112,3.70E-109
WBGene00012608,hphd-1,20123.31559,37217.93658,3028.942821,-3.481850236,0.157192799,-22.15018924,1.04E-108,9.55E-106
WBGene00007875,dod-24,31637.25243,1906.174863,61368.01224,4.651335366,0.211382567,22.00434702,2.62E-107,2.28E-104
WBGene00018138,folt-2,8967.718197,16777.11848,1157.984313,-3.68850931,0.168040054,-21.95017933,8.63E-107,7.14E-104
WBGene00018971,clec-67,3747.493458,684.0605462,6811.191835,3.202853426,0.149140201,21.47545332,2.64E-102,2.08E-99
WBGene00019322,ahcy-1,56333.67257,97621.06141,15046.57309,-2.633540633,0.125490166,-20.98603202,8.80E-98,6.62E-95
WBGene00017301,hach-1,8628.746328,14333.4258,2924.394102,-2.252921297,0.108105815,-20.83996396,1.88E-96,1.35E-93
WBGene00006510,mtrr-1,6835.867684,11337.19577,2334.30172,-2.236425507,0.112709119,-19.84245406,1.28E-87,8.83E-85
WBGene00020760,T24C4.4,917.1071441,93.9925402,1740.280549,3.938355827,0.200922752,19.60134327,1.51E-85,9.97E-83
WBGene00018811,pmt-2,22300.45363,37379.50313,7221.686857,-2.321581075,0.118559886,-19.58150568,2.22E-85,1.42E-82
WBGene00010019,F54B8.4,592.9859446,60.92619845,1125.160511,3.931472861,0.201477197,19.51323978,8.47E-85,5.19E-82
WBGene00018393,msra-1,12427.53577,23222.3815,1632.795177,-3.622801692,0.186095247,-19.4674595,2.07E-84,1.23E-81
WBGene00003214,mel-32,21849.88573,35843.15913,7857.002895,-2.149407301,0.110572745,-19.43885268,3.62E-84,2.07E-81
